ID,Report_ID,cohens_d,hedges_g,dataset
CP10,R1,0.9236586857446079,0.9147487948853351,performance
CP01,R1,-1.2240412832549528,-1.2142489529889131,performance
CP01,R2,-0.6793488468595296,-0.6741892353643939,performance
CP01,R3,-0.2071647382914521,-0.20560710868023815,performance
CP03,R1,-0.1425112064184429,-0.14241668207193497,performance
CP04,R1,-0.08307605845686813,-0.08281288192532578,performance
CP05,R1,0.32891206390551925,0.32651124592080744,performance
CP09,R1,0.11104326083280991,0.11035921610488705,performance
CP11,R2,0.5,0.4987012987012987,performance
CP11,R3,0.26,0.25932467532467535,performance
CP11,R4,1.77,1.7632869785082175,performance
CP11,R7,0.79,0.7884438608010507,performance
CP11,R6,0.35,0.34934003771213074,performance
CP11,R1,0.34,0.33889490790899246,performance
CP11,R5,0.25,0.24902216427640156,performance
CP12,R1,0.6584772592301293,0.657980794847699,performance
CP14,R1,0.4335629692075621,0.4322661706954757,performance
CP14,R2,0.5568363095992078,0.5550648261116176,performance
CP14,R3,-0.5915451751063706,-0.5897023552462262,performance
CP14,R4,-0.26753501327615536,-0.26670157086719537,performance
CP02,R1,-0.037319653863127654,-0.03712219537707936,performance
CP02,R2,-0.2590149782310986,-0.2576445286108282,performance
CP06,R1,0.3430836926563409,0.33829647834020593,performance
CP07,R3,0.33322366893967514,0.3319270787881589,performance
CP07,R4,0.5146890756933412,0.512665396496644,performance
CP07,R1,-0.012266273962523612,-0.012218545270062432,performance
CP07,R2,-0.100542346880768,-0.1001470296584321,performance
CP08,R2,0.2825865832198851,0.28189790754997474,performance
CP08,R3,0.434322507465334,0.4332640448151342,performance
CP08,R1,-0.1365293313320437,-0.13619660347339535,performance
CP13,R1,0.023798891139555065,0.02359548181357596,performance
CD01,R1,1.1539789397640587,1.153213532552188,diversity
CD02,R1,0.5497279276540185,0.5475889084802674,diversity
CD02,R2,0.43074179799384044,0.4290481867304309,diversity
CD03,R1,0.5698189182292144,0.5684302449922626,diversity
CD04,R1,0.7661383740319482,0.7635587835469921,diversity
HAI08,R2,0.9531718212869071,0.9525522079686275,versus
